R18,10.92,8.57,180.00,3K3,CPF0201D7K68C1_0201
R1_USB,0.40,9.42,90.00,5K1,CPF0201D7K68C1_0201
R2,11.08,15.37,270.00,0,CPF0201D7K68C1_0201
R2-EP-DR,-14.70,-13.70,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.27,9.42,90.00,5K1,CPF0201D7K68C1_0201
R3,20.30,12.33,180.00,0,CPF0201D7K68C1_0201
R4,9.92,14.66,270.00,0,CPF0201D7K68C1_0201
R5,-14.07,-15.16,270.00,10k,CPF0201D7K68C1_0201
R7,14.40,-15.02,90.00,10k,CPF0201D7K68C1_0201
R8,-3.25,-15.03,270.00,10k,CPF0201D7K68C1_0201
R9,-15.26,15.75,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-5.68,-6.12,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-18.56,-15.81,90.00,2.2,CPF0201D7K68C1_0201
SJ1,-19.51,-13.98,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.30,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.30,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.30,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,20.16,-9.77,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,19.52,-14.81,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3.3V,5.04,-10.83,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,17.73,8.16,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-20.72,11.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.18,8.91,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,14.90,4.91,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,13.76,8.24,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,16.77,15.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.92,4.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,20.91,4.81,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,9.51,-3.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-18.88,14.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,13.33,13.84,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,4.07,-0.77,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-9.16,15.43,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,1.37,-11.40,0.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,-2.81,-0.93,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
